index,name,displayed_hebrew,analysis_hebrew,corpus_layer,object_class,attestation_status,representative_source,source_url,source_form,primary_biblical_inclusion,recommended_action,notes
1,El,אל,אל,primary-biblical,biblical-divine-name,exact-divine-use,Exodus 34:6,https://www.sefaria.org/Exodus.34.6?lang=bi,אל,yes,retain,"The search token is also the preposition 'to'; inclusion rests on a contextually divine occurrence rather than raw string frequency."
2,Eloah,אלוה,אלוה,primary-biblical,biblical-divine-name,exact-divine-use,Deuteronomy 32:15,https://www.sefaria.org/Deuteronomy.32.15?lang=bi,אלוה,yes,retain,Exact consonantal form in divine use.
3,Elohim,אלהים,אלהים,primary-biblical,biblical-divine-name,exact-divine-use,Genesis 1:1,https://www.sefaria.org/Genesis.1.1?lang=bi,אלהים,yes,retain,Exact consonantal form in divine use.
4,YHWH,יהוה,יהוה,primary-biblical,biblical-divine-name,exact-divine-use,Exodus 3:15,https://www.sefaria.org/Exodus.3.15?lang=bi,יהוה,yes,retain,Exact consonantal form in divine use.
5,Adonai,אדני,אדני,primary-biblical,biblical-divine-title,exact-divine-use,Genesis 15:2,https://www.sefaria.org/Genesis.15.2?lang=bi,אדני,yes,retain,"The nun is medial, so Mispar Gadol does not assign it a final-letter value."
6,Shaddai,שדי,שדי,primary-biblical,biblical-divine-name,exact-divine-use,Genesis 17:1,https://www.sefaria.org/Genesis.17.1?lang=bi,שדי,yes,retain,Exact form occurs within El Shaddai.
7,Ehyeh Asher Ehyeh,אהיה אשר אהיה,אהיה אשר אהיה,primary-biblical,biblical-divine-formula,exact-divine-use,Exodus 3:14,https://www.sefaria.org/Exodus.3.14?lang=bi,אהיה אשר אהיה,yes,retain,Exact full formula.
8,El Elyon,אל עליון,אל עליון,primary-biblical,biblical-divine-title,exact-divine-use,Genesis 14:22,https://www.sefaria.org/Genesis.14.22?lang=bi,אל עליון,yes,retain,Exact phrase in explicit relation to YHWH.
9,El Olam,אל עולם,אל עולם,primary-biblical,biblical-divine-title,exact-divine-use,Genesis 21:33,https://www.sefaria.org/Genesis.21.33?lang=bi,אל עולם,yes,retain,Exact phrase.
10,El Roi,אל ראי,אל ראי,primary-biblical,biblical-divine-title,exact-divine-use,Genesis 16:13,https://www.sefaria.org/Genesis.16.13?lang=bi,אל ראי,yes,retain,Exact phrase.
11,El Gibbor,אל גבור,אל גבור,primary-biblical,biblical-divine-title,exact-divine-use,Isaiah 10:21,https://www.sefaria.org/Isaiah.10.21?lang=bi,אל גבור,yes,retain,Exact phrase in unambiguous divine use.
12,El Yeshuati,אל ישועתי,אל ישועתי,primary-biblical,biblical-divine-title,exact-divine-use,Isaiah 12:2,https://www.sefaria.org/Isaiah.12.2?lang=bi,אל ישועתי,yes,retain,Exact phrase.
13,Shekhinah,שכינה,שכינה,later-traditional,rabbinic-theological-term,later-exact-use,Pirkei Avot 3:6,https://www.sefaria.org/Pirkei_Avot.3.6?lang=bi,שכינה,no,separate-layer,"A Mishnah-era term for divine presence, not a Tanakh divine-name lexeme."
14,HaMakom,המקום,המקום,later-traditional,rabbinic-divine-epithet,later-exact-divine-use,Mishnah Sanhedrin 6:5,https://www.sefaria.org/Mishnah_Sanhedrin.6.5?lang=bi,המקום,no,separate-layer,"Tanakh occurrences usually mean 'the place'; the divine epithet is established by rabbinic context."
15,HaRachaman,הרחמן,הרחמן,later-traditional,liturgical-divine-epithet,later-exact-divine-use,"Birkat Hamazon, Hatov Vehametiv 2",https://www.sefaria.org/Birkat_Hamazon%2C_Hatov_Vehametiv.2?lang=bi,הרחמן,no,separate-layer,Representative liturgical attestation; no exact Tanakh occurrence was found.
16,HaKadosh Baruch Hu,הקדוש ברוך הוא,הקדוש ברוך הוא,later-traditional,rabbinic-divine-epithet,later-exact-divine-use,Pirkei Avot 3:2,https://www.sefaria.org/Pirkei_Avot.3.2?lang=bi,הקדוש ברוך הוא,no,separate-layer,Exact rabbinic formula; retain 655 for the displayed full form.
17,Ribbono Shel Olam,ריבונו של עולם,רבונו של עולם,later-traditional,rabbinic-address-formula,normalized-later-form,Menachot 29b:5,https://www.sefaria.org/Menachot.29b.5?lang=bi,רבונו של עולם,no,correct-and-separate,"The classical unpointed form lacks the inserted yod; use רבונו של עולם = 740 unless a specific plene source is selected in advance."
