index,name,hebrew,scope,standard,mispar_gadol,base12_standard,base12_mispar_gadol,strict_8_layers,strict_12_layers,strict_base10_palindrome_layers,strict_base12_palindrome_layers,strict_constants,strict_domains,paper_claims,claimed_cluster,comparison_flags,review_action
1,El,אל,literal-heading,31,31,27,27,,,,,,,paper-neutral,Neutral.,,Leave neutral unless thematic grounds are explicitly argued.
2,Eloah,אלוה,literal-heading,42,42,36,36,,,,,standard-constant-42:42; mispar-gadol-constant-42:42,major-constant,paper-constant-or-basemultiple,Constantresonance cluster.,,Strict classification agrees broadly; preserve with clearer layer labels.
3,Elohim,אלהים,literal-heading,86,646,72,45A,,,mispar-gadol-base10-palindrome,,,base10-palindrome,paper-base10-palindrome,Base10 palindrome cluster.,,Strict classification agrees broadly; preserve with clearer layer labels.
4,YHWH,יהוה,literal-heading,26,26,22,22,standard-collapse-8; mispar-gadol-collapse-8,,,standard-base12-palindrome:22; mispar-gadol-base12-palindrome:22,standard-base12-signature-22:YHWH/base-12 alphabet signature; mispar-gadol-base12-signature-22:YHWH/base-12 alphabet signature,strict-8; base12-palindrome; major-constant,paper-8; paper-base12-palindrome; paper-constant-or-basemultiple,8-collapse; Base12 palindrome; Constantresonance,,Strict classification agrees broadly; preserve with clearer layer labels.
5,Adonai,אדני,literal-heading,65,65,55,55,,,,standard-base12-palindrome:55; mispar-gadol-base12-palindrome:55,,base12-palindrome,paper-base12-palindrome,Base12 palindrome cluster.,calculation-review,Correct Mispar Gadol handling; base-12 palindrome survives as 55_12.
6,Shaddai,שדי,literal-heading,314,314,222,222,standard-collapse-8; mispar-gadol-collapse-8,,,standard-base12-palindrome:222; mispar-gadol-base12-palindrome:222,standard-constant-314:pi/Shaddai; mispar-gadol-constant-314:pi/Shaddai,strict-8; base12-palindrome; major-constant,paper-8; paper-base12-palindrome; paper-constant-or-basemultiple,8-collapse; Base12 palindrome; Constantresonance,,Strict classification agrees broadly; preserve with clearer layer labels.
7,Ehyeh Asher Ehyeh,אהיה אשר אהיה,literal-heading,543,543,393,393,,standard-collapse-12; mispar-gadol-collapse-12,,standard-base12-palindrome:393; mispar-gadol-base12-palindrome:393,,strict-12; base12-palindrome,paper-base12-palindrome,Base12 palindrome cluster.,strict-12-not-claimed,Add the exact decimal first-step sum 5 + 4 + 3 = 12.
8,El Elyon,אל עליון,literal-heading,197,847,145,5A7,standard-collapse-8,,,,,strict-8,paper-8,8-collapse (from standard 197 → 1+9+7=17→8),calculation-review,Correct standard total/double-count issue; strict standard 8-collapse survives.
9,El Olam,אל עולם,literal-heading,177,737,129,515,mispar-gadol-collapse-8,base12-standard-collapse-12,mispar-gadol-base10-palindrome,mispar-gadol-base12-palindrome:515,,strict-8; strict-12; base10-palindrome; base12-palindrome,paper-8; paper-base12-palindrome,8-collapse; Base12 palindrome,strict-12-not-claimed; strict-base10-not-claimed,"Treat as cross-layer: Mispar Gadol terminal 8, exact base-12 digit sum 12, and base-10 and base-12 palindrome layers."
10,El Roi,אל ראי,literal-heading,242,242,182,182,standard-collapse-8; mispar-gadol-collapse-8,,standard-base10-palindrome; mispar-gadol-base10-palindrome,,,strict-8; base10-palindrome,paper-8; paper-base10-palindrome,8-collapse; Base10 palindrome,,Strict classification agrees broadly; preserve with clearer layer labels.
